Html BOM,Serial NO,Project Name,Model X Qty
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_CAN_20\\C20087A-KDS\\Plumbing\\BOM-C20087A-MDS 7.html"", ""BOM-C20087A-MDS 7.html"")",C20087A #CP-18,ST. PAUL'S HOSPITAL #CP-18,KDS PLUMB X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_CAN_24\\C24230A-1-1\\BOM-CA-KVESJ-C24230A.html"", ""BOM-CA-KVESJ-C24230A.html"")",C24230A #1-1,"S39707 HALIFAX FIRE HEADQUARTER, HALIFAX, NS #1-1",KVC X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_CAN_24\\C24240F-7b\\BOM-CA-KVESJ-C24240F.html"", ""BOM-CA-KVESJ-C24240F.html"")",C24240F #7b,"BC CHILDREN & WOMEN HOSPITAL SHAUGNESSY BUILDING, BC#7b",KVE X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_CAN_25\\C25012-EF3R\\BOM-FilterSectionXX-C25012-3.html"", ""BOM-FilterSectionXX-C25012-3.html"")",C25012-EF3R,McDONALD'S #41321 EF3R,"PST, ELF FILTER, 3K X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_CAN_25\\C25027A - H1\\BOM-CA-KVESJ-C25027A.html"", ""BOM-CA-KVESJ-C25027A.html"")",C25027A #H1,U OF A FIRST PEOPLE HOUSE EDUCATION SOUTH #H1,KVE X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_CAN_25\\C25103A-H-1\\BOM-CA-KVESJ-C25103A.html"", ""BOM-CA-KVESJ-C25103A.html"")",C25103A #H-1,S39651 PICKERING SEATON #H-1,EO X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25396A-KDS\\EleCover\\BOM-EleRiserCoverPlatesTop-U25396A.html"", ""BOM-EleRiserCoverPlatesTop-U25396A.html"")",U25396AR.#20.3,AYNOR HS.#20.3,"KDS, ELECTRICAL RISER COVER X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25396A-KDS\\EleRiser\\BOM-2B0E00XHX-U25396A.html"", ""BOM-2B0E00XHX-U25396A.html"")",U25396AR.#20.3 ER,AYNOR HS.#20.3 ER,"KDS, ELECTRICAL RISER X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25396A-KDS\\LeftPlumb\\BOM-2BLP00TYX-U25396A.html"", ""BOM-2BLP00TYX-U25396A.html"")",U25396AR.#20.3 LP,AYNOR HS.#20.3 LP,"KDS, LEFT PLUMBING RISER X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25396A-KDS\\RightPlumb\\BOM-2BRP00TYX-U25396A.html"", ""BOM-2BRP00TYX-U25396A.html"")",U25396AR.#20.3 RP,AYNOR HS.#20.3 RP,"KDS, RIGHT PLUMBING RISER X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25396A-KDS\\RwLeft\\BOM-2B0R00XXX-U25396AL.html"", ""BOM-2B0R00XXX-U25396AL.html"")",U25396AL.#20.3 LT RW,AYNOR HS.#20.3 LT RW,"KDS, RACE WAY, Left X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25396A-KDS\\RwPlates\\BOM-RwPlAsemKDS-U25396A.html"", ""BOM-RwPlAsemKDS-U25396A.html"")",U25396AR.#20.3,AYNOR HS.#20.3,"KDS, RACE WAY Plates X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25396A-KDS\\RwRight\\BOM-2B0R00XXX-U25396AR.html"", ""BOM-2B0R00XXX-U25396AR.html"")",U25396AR.#20.3 RT RW,AYNOR HS.#20.3 RT RW,"KDS, RACE WAY, Right X 1"
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_CAN_20\\C20001A\\BOM-CA-KVESJ-C20001A.html"", ""BOM-CA-KVESJ-C20001A.html"")",C20001A.#H1,Test2025,KVE X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25010A-VC2V\\BOM-VC2V00-Test.html"", ""BOM-VC2V00-Test.html"")",Test1,Test VC2V,VC2V X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_24\\U24560C-H-2\\BOM-CFA-KVLC-U24560C.html"", ""BOM-CFA-KVLC-U24560C.html"")",U24560C #H-2,CHICK-FIL-A #30058 410 & STEELES FSR #H-2,CFA-KVL-C X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25010A-VC2V\\BOM-VC2V00.html"", ""BOM-VC2V00.html"")",,,carbon X 1
"=HYPERLINK(""..\\..\\Content\\StandardProduct\\LCH\\LCH1\\BOM-LCH00-11-49.html"", ""BOM-LCH00-11-49.html"")",,,LCH1 X 1
"=HYPERLINK(""..\\..\\Content\\CustomizedProduct\\_US_25\\U25100A\\BOM-CFA-KVLC-test.html"", ""BOM-CFA-KVLC-test.html"")",,,CFA-KVL-C X 1
"=HYPERLINK(""..\\..\\Content\\StandardProduct\\CFA-KVLC\\BOM-CFA-KVLC-35FG131.html"", ""BOM-CFA-KVLC-35FG131.html"")",,,KVL-C X 1
